[2024-03-28 12:32:42] No settings files found: /home/kingrain/Documents/min/mindustry server/mindustry-server/config/settings.bin and /home/kingrain/Documents/min/mindustry server/mindustry-server/config/settings_backup.bin
[2024-03-28 12:32:44] Saving 2 values; 44 bytes
[2024-03-28 12:33:44] Saving 2 values; 44 bytes
[2024-03-28 12:34:44] Saving 2 values; 44 bytes
[2024-03-28 12:35:44] Saving 2 values; 44 bytes
[2024-03-28 12:36:44] Saving 2 values; 44 bytes
[2024-03-28 12:36:49] Saving 2 values; 44 bytes
[2024-03-28 12:36:49] Saving 3 values; 71 bytes
[2024-03-28 12:36:50] Saving 3 values; 71 bytes
[2024-03-28 12:37:07] Loaded 3 values
[2024-03-28 12:37:07] Backed up config/settings.bin to config/settings_backup.bin (71 bytes)
[2024-03-28 12:37:10] Saving 3 values; 71 bytes
[2024-03-28 12:38:09] Saving 3 values; 71 bytes
[2024-03-28 12:38:09] Saving 3 values; 71 bytes
[2024-03-28 12:38:10] Saving 3 values; 71 bytes
[2024-03-28 12:38:10] Saving 3 values; 71 bytes
[2024-03-28 12:39:10] Saving 3 values; 71 bytes
[2024-03-28 12:40:10] Saving 3 values; 71 bytes
[2024-03-28 12:41:10] Saving 3 values; 71 bytes
[2024-03-28 12:42:10] Saving 3 values; 71 bytes
[2024-03-28 12:43:10] Saving 3 values; 71 bytes
[2024-03-28 12:44:05] Saving 3 values; 71 bytes
[2024-03-28 12:44:05] Saving 3 values; 71 bytes
[2024-03-28 12:44:05] Saving 3 values; 71 bytes
[2024-03-28 12:44:10] Saving 3 values; 71 bytes
[2024-03-28 12:45:10] Saving 3 values; 71 bytes
[2024-03-28 12:46:10] Saving 3 values; 71 bytes
[2024-03-28 12:47:10] Saving 3 values; 71 bytes
[2024-03-28 12:48:10] Saving 3 values; 71 bytes
[2024-03-28 12:49:10] Saving 3 values; 71 bytes
[2024-03-28 12:50:10] Saving 3 values; 71 bytes
[2024-03-28 12:50:44] Saving 3 values; 71 bytes
[2024-03-28 12:50:44] Saving 3 values; 71 bytes
[2024-03-28 12:50:44] Saving 3 values; 71 bytes
[2024-03-28 12:51:10] Saving 3 values; 71 bytes
[2024-03-28 12:52:10] Saving 3 values; 71 bytes
[2024-03-28 12:53:10] Saving 3 values; 71 bytes
[2024-03-28 12:54:10] Saving 3 values; 71 bytes
[2024-03-28 12:55:10] Saving 3 values; 71 bytes
[2024-03-28 12:56:10] Saving 3 values; 71 bytes
[2024-03-28 12:56:31] Saving 3 values; 71 bytes
[2024-03-28 12:56:31] Saving 3 values; 71 bytes
[2024-03-28 12:56:31] Saving 3 values; 71 bytes
[2024-03-28 12:57:10] Saving 3 values; 71 bytes
[2024-03-28 12:58:10] Saving 3 values; 71 bytes
[2024-03-28 12:59:10] Saving 3 values; 71 bytes
[2024-03-28 13:00:10] Saving 3 values; 71 bytes
[2024-03-28 13:01:10] Saving 3 values; 71 bytes
[2024-03-28 13:02:10] Saving 3 values; 71 bytes
[2024-03-28 13:03:10] Saving 3 values; 71 bytes
[2024-03-28 13:03:11] Saving 3 values; 71 bytes
[2024-03-28 13:03:11] Saving 3 values; 71 bytes
[2024-03-28 13:03:11] Saving 3 values; 71 bytes
[2024-03-28 13:04:10] Saving 3 values; 71 bytes
[2024-03-28 13:05:10] Saving 3 values; 71 bytes
[2024-03-28 13:06:10] Saving 3 values; 71 bytes
[2024-03-28 13:07:10] Saving 3 values; 71 bytes
[2024-03-28 13:08:10] Saving 3 values; 71 bytes
[2024-03-28 13:09:10] Saving 3 values; 71 bytes
[2024-03-28 13:10:10] Saving 3 values; 71 bytes
[2024-03-28 13:11:10] Saving 3 values; 71 bytes
[2024-03-28 13:12:10] Saving 3 values; 71 bytes
[2024-03-28 13:13:10] Saving 3 values; 71 bytes
[2024-03-28 13:14:10] Saving 3 values; 71 bytes
[2024-03-28 13:15:10] Saving 3 values; 71 bytes
[2024-03-28 13:15:32] Saving 3 values; 71 bytes
[2024-03-28 13:15:32] Saving 3 values; 71 bytes
[2024-03-28 13:15:32] Saving 3 values; 71 bytes
[2024-03-28 13:16:10] Saving 3 values; 71 bytes
[2024-03-28 13:17:10] Saving 3 values; 71 bytes
[2024-03-28 13:18:10] Saving 3 values; 71 bytes
[2024-03-28 13:19:10] Saving 3 values; 71 bytes
[2024-03-28 13:20:10] Saving 3 values; 71 bytes
[2024-03-28 13:21:00] Saving 3 values; 71 bytes
[2024-03-28 13:21:00] Saving 3 values; 71 bytes
[2024-03-28 13:21:00] Saving 3 values; 71 bytes
[2024-03-28 13:21:10] Saving 3 values; 71 bytes
[2024-03-28 13:22:10] Saving 3 values; 71 bytes
[2024-03-28 13:23:10] Saving 3 values; 71 bytes
[2024-03-28 13:24:10] Saving 3 values; 71 bytes
[2024-03-28 13:25:10] Saving 3 values; 71 bytes
[2024-03-28 13:26:10] Saving 3 values; 71 bytes
[2024-03-28 13:26:18] Saving 3 values; 71 bytes
